taxa,ISW
PI567548,-0.231728833
PI567569,0.204936365
PI567628B,0.357040028
PI567630A,0.148502786
PI567662,-0.076728833
PI567731,-0.041337805
PI567767B,-0.117959972
PI574541,0.523271167
PI576146,-0.151728833
PI577798,0.366399124
PI578306B,-0.930063635
PI578307C,-0.744161978
PI578318D,-0.564161978
PI584470,1.138502786
PI587588A,0.461996997
PI587966B,0.201399124
PI591487,-0.038003003
PI591490,0.068502786
PI591491,0.148271167
PI591503,0.452040028
PI591519,0.049936365
PI591522,0.278271167
PI591523,0.065124954
PI591526,0.533502786
PI591527,0.098502786
PI591528,0.412040028
PI591530,-0.360063635
PI591561,-0.131728833
PI592903,0.501996997
PI593957,0.025124954
PI594005D,0.104936365
PI594008,-0.099875046
PI594014B,-0.323003003
PI594170B,-0.819625171
PI594872,0.149936365
PI595926,0.846399124
PI597387,0.071996997
PI597481,0.157040028
PI603173,1.118502786
PI603332,0.606399124
PI603412B,0.048502786
PI603420,-0.751497214
PI603444C,-0.140063635
PI603445B,NA
PI603453,1.440124954
PI603454,0.037040028
PI603489,0.121996997
PI603490,0.646996997
PI603491,0.510704312
PI603495B,-0.877959972
PI603588,-0.507959972
PI603720,0.029936365
PI603733,-0.535063635
PI603915D,0.533502786
PI605806A,-0.273600876
PI605825C,-0.561497214
PI606364,-0.141337805
PI606408,0.245374829
PI607380,0.160045347
PI612736,0.028271167
PI614155,0.440374829
PI614807,-0.357959972
PI615514,0.054936365
PI615555,0.082040028
PI616498,-0.571728833
PI628874,0.366399124
PI632401,-0.441497214
PI632405,-0.446728833
PI632425,-0.531728833
PI632430,-0.556337805
PI632945B,0.013502786
PI633608,0.480124954
PI634757,0.361399124
PI634758,0.943502786
PI634763,0.186399124
PI634764,-0.324875046
PI634876,-0.846728833
PI634895,0.126399124
PI634905,0.045124954
PI634909,0.500374829
PI636695,-0.038003003
PI639543,-0.846497214
PI639563,0.524936365
PI644024,0.036996997
