Taxa,Population
PI591484,C2.US
PI591497,C2.US
PI591502,C2.US
PI591510,C2.US
PI591524,C2.US
PI591525,C2.US
PI591531,C2.US
PI591540,C2.US
PI597382,C2.US
PI597478B,C2.US
PI603571B,C2.US
PI603742C,C2.US
PI614154,C2.US
PI632422,C2.US
PI634760,C2.US
PI634827,C2.US
PI636464,C2.US
PI371610,C2.US
PI371611,C2.US
PI445830,C2.US
PI476352A,C2.US
PI507708,C2.US
PI533601,C2.US
PI534646,C2.US
PI534648,C2.US
PI537095,C2.US
PI542711,C2.US
PI547415,C2.US
PI547437,C2.US
PI547444,C2.US
PI547453,C2.US
PI547479,C2.US
PI547524,C2.US
PI547525,C2.US
PI547535,C2.US
PI547543,C2.US
PI547572,C2.US
PI547576,C2.US
PI547603,C2.US
PI547630,C2.US
PI547644,C2.US
PI547801,C2.US
PI547833,C2.US
PI547862,C2.US
PI547876,C2.US
PI548210,C2.US
PI548231,C2.US
PI548242,C2.US
PI548253,C2.US
PI548259,C2.US
PI548263,C2.US
PI548288,C2.US
PI548520,C2.US
PI548569,C2.US
PI548597,C2.US
PI548611,C2.US
PI548681,C2.US
PI556778,C2.US
PI556928,C2.US
PI557011,C2.US
PI567783,C2.US
PI576166,C2.US
PI591506,C2.US
PI591539,C2.US
PI592936,C2.US
PI595363,C2.US
PI603205,C2.US
PI612738,C2.US
PI615554,C2.US
PI632426,C2.US
PI632427,C2.US
PI632963,C2.US
PI634761,C2.US
PI634903,C2.US
PI634906,C2.US
PI81031-1,C2.GRIN
PI81763,C2.GRIN
PI85420,C2.GRIN
PI88816,C2.GRIN
PI90570,C2.GRIN
PI91731,C2.GRIN
PI93055,C2.GRIN
PI84946-1,C2.GRIN
PI87059,C2.GRIN
PI89783,C2.GRIN
PI82218,C2.SK
PI82315,C2.SK
PI82555,C2.SK
PI83891,C2.SK
PI83946,C2.SK
PI85559,C2.SK
PI84742,C2.SK
PI85550,C2.SK
PI85590,C2.SK
PI85630,C2.SK
PI86978,C2.SK
PI97066,C2.SK
PI81774,C2.SK
PI83944,C2.SK
PI85355,C2.SK
PI85424,C2.SK
PI85469,C2.SK
PI86740,C2.SK
PI90573,C2.SK
PI95960,C2.SK
PI97161,C2.SK
PI70467,C2.US
PI273483A,R.SK
PI273483B,R.SK
PI273484,R.SK
PI274205,R.SK
PI274206,R.SK
PI274207,R.SK
PI274208,R.SK
PI274210,R.SK
PI274211,R.SK
PI274212,R.SK
PI339734,R.SK
PI339736,R.SK
PI339864A,R.SK
PI339865A,R.SK
PI339865B,R.SK
PI339868A,R.SK
PI339868B,R.SK
PI339977,R.SK
PI339987,R.SK
PI339990,R.SK
PI339991,R.SK
PI339993,R.SK
PI339994,R.SK
PI339995,R.SK
PI339997,R.SK
PI340005,R.SK
PI340007,R.SK
PI340012,R.SK
PI340015,R.SK
PI340018,R.SK
PI340020,R.SK
PI340021A,R.SK
PI340031A,R.SK
PI340034,R.SK
PI340036,R.SK
PI340037,R.SK
PI340038,R.SK
PI340046,R.SK
PI340047,R.SK
PI340048,R.SK
