taxa,ISW
PI408214,-0.08498
PI408215A,0.05148
PI408216A,0.0153
PI408216B,0.0352
PI408217A,-0.07938
PI408217B,-0.1264
PI408217C,0.09481
PI408222A,0.1552
PI408222B,-0.08853
PI408224B,0.02337
PI408226A,0.06643
PI408227,0.1473
PI408228B,-0.05774
PI408230,0.2004
PI408231,0.3953
PI408232,0.1668
PI408233A,-0.1167
PI408233B,0.09526
PI408234A,-0.04027
PI408234B,0.04255
PI408248A,-0.1344
PI408248B,-0.03468
PI408255A,-0.00786
PI408256,-0.01344
PI408259A,-0.02234
PI408260C,-0.07584
PI408262A,-0.0596
PI408262B,-0.05285
PI408262C,0.09931
PI408262D,-0.00997
PI408263,0.3638
PI408264,-0.05122
PI408265A,-0.03616
PI408265B,-0.07017
PI408269A,-0.1644
PI408269B,-0.1959
PI408269D,0.05356
PI408270B,-0.08873
PI408271,0.07539
PI408275,-0.09402
PI408277,-0.07061
PI408284,-0.00784
PI408285A,-0.1573
PI408285B,-0.02448
PI408290,0.0398
PI408294A,-0.2111
PI408295B,0.05436
PI408296A,-0.08534
PI408298A,0.3327
PI408298B,-0.06967
PI408299,0.3332
PI408302,0.0638
PI408306,-0.03113
PI408312A,-0.03882
PI408312B,-0.1344
PI408315A,0.4075
PI408315B,0.135
PI408318A,0.1205
PI408321,0.1487
PI408329,0.05515
PI408332A,0.1167
PI408334,0.2713
PI408335A,-0.2492
PI408338,-0.03563
PI423725,-0.2059
PI423728A,-0.04511
PI423729,-0.0332
PI423730A,-0.03166
PI423733,0.1184
PI423736A,0.03573
PI423737,0.02079
PI423739,0.2557
PI423740,0.1267
PI423744,-0.09326
PI423746,0.1107
PI423747B,-0.09529
PI423748A,-0.05466
PI423748C,0.01569
PI423752A,-0.08535
PI423752B,0.04534
PI423753A,0.01312
PI423756B,-0.12
PI423757,0.0481
PI423763,0.2157
PI423765,-0.05117
PI423766,-0.00824
PI423769A,0.2316
PI423769B,0.1405
PI423770,0.1826
PI423771,0.1858
PI423776,-0.00897
PI423777,0.175
PI423778,0.1123
PI423787,-0.1228
PI423791,-0.03128
PI423792,-0.08031
PI423795,0.05346
PI423797,0.08285
PI423798B,-0.05642
PI423799A,0.02698
PI423800,-0.1778
PI423809,-0.1581
PI423811,0.1855
PI423812,0.1911
PI423814B,-0.133
PI423815,-0.1096
PI423816,-0.03781
PI423818,0.06745
PI423830B,0.2087
PI423833B,-0.1471
PI423836,-0.1991
PI423838,0.1096
PI423839,-0.07785
PI423841,-0.3223
PI423846,-0.05717
PI423851,-0.1973
PI423863A,0.1376
PI423863B,-0.1961
PI424024,-0.3471
PI424078,-0.5119
PI424134,0.04967
PI424140,-0.1194
PI424149,0.09736
PI424150,0.2515
PI424151,0.08316
PI424152,0.05412
PI424153,-0.1811
PI424154A,-0.2153
PI424155A,0.04724
PI424155B,0.01193
PI424158,0.04107
PI424159B,-0.2262
PI424160,-0.01029
PI424162,-0.03513
PI424165,0.2434
PI424167,0.1164
PI424168A,0.1396
PI424168C,0.02305
PI424171A,-0.2239
PI424172A,-0.2025
PI424177,-0.0332
PI424179A,0.1109
PI424180,-0.05661
PI424184,0.008991
PI424188B,-0.1396
PI424189,0.4257
PI424211,0.1428
PI424214B,0.06836
PI424217A,-0.1155
PI424217B,0.03459
PI424225,-0.2215
PI424227A,-0.0527
PI424229B,0.2111
PI424230,-0.00885
PI424231,0.1905
PI424232A,-0.03801
PI424232B,0.03063
PI424233,0.00488
PI424234A,-0.1636
PI424234B,-0.1196
PI424234C,-0.2916
PI424235,-0.2706
PI424236,-0.02057
PI424238,0.3918
PI424241,0.1944
PI424242,-0.2368
PI424244,0.4549
PI424245,-0.09333
PI424247A,0.03849
PI424247B,0.04791
PI424249C,-0.09214
PI424253,0.06022
PI424254,-0.08896
PI424255A,-0.01902
PI424255B,0.3166
PI424256,-0.07195
PI424257A,0.1156
PI424257B,0.1015
PI424258,-0.3305
PI424262,0.1449
PI424264,-0.01287
PI424265,0.1444
PI424267,0.07948
PI424268,-0.08154
PI424269A,-0.04032
PI424270A,0.04062
PI424270C,0.1294
PI424272A,-0.1221
PI424273B,-0.1325
PI424274A,-0.07547
PI424274B,0.1695
PI424276,-0.02638
PI424280,-0.09777
PI424281A,0.07186
PI424281B,0.1116
PI424282,0.2972
PI424283,0.008981
PI424285D,0.02451
PI424286,-0.1843
PI424287,0.2415
PI424288,0.2923
PI424289,0.1557
PI424291,-0.1671
PI424293,0.1354
PI424294A,-0.2828
PI424294B,-0.4085
PI424296A,-0.07221
PI424296B,-0.03833
PI424299A,-0.02943
PI424299B,0.089
PI424299C,-0.1024
PI424301,0.02393
PI424307,-0.22
PI424310,0.03137
PI424311,-0.2057
PI424312,-0.00432
PI424313,0.4815
PI424314,0.292
PI424315,0.1288
PI424317,0.1338
PI424318,0.3361
PI424319,0.1107
PI424326,-0.1254
PI424327,-0.2921
PI424328,0.1321
PI424329,-0.01358
PI424330,0.06746
PI424336,-0.1084
PI424343,0.1702
PI424344,-0.1172
PI424346,0.3318
PI424347A,0.05843
PI424347B,0.09806
PI424348A,-0.1319
PI424348B,-0.2388
PI424349A,0.4511
PI424354,-0.00378
PI424356,-0.1671
PI424357B,-0.04094
PI424358,0.04539
PI424359,0.09134
PI424364B,0.1953
PI424366,0.02913
PI424370A,-0.1363
PI424370B,-0.143
PI424372,-0.1533
PI424373,-0.1495
PI424379,0.2042
PI424380,-0.08543
PI424381,0.1827
PI424382,0.008052
PI424383,-0.03031
PI424384,-0.02069
PI424386A,0.02501
