taxa,ISW
PI547436,0.049291738
PI547452,-0.805720107
PI547461,0.549291738
PI547467,-0.269624198
PI547476,0.578080038
PI547489,-0.278136043
PI547508,0.073363957
PI547521,0.19504416
PI547538,0.652875802
PI547545,0.11904416
PI547560,0.192664101
PI547583,0.528863957
PI547598,0.035863957
PI547599,-0.291943995
PI547608,-0.066943995
PI547618,-0.432720107
PI547628,-0.20545584
PI547639,0.237080038
PI547640,-0.300136043
PI547642,-0.217208262
PI547662,0.300779893
PI547845,-0.126919962
PI547846,0.230056005
PI547856,0.193863957
PI547872,-0.04345584
PI547878,-0.329943995
PI547883,0.486344304
PI547887,0.223844304
PI548208,-0.17845584
PI548214,-0.420655696
PI548281,-0.515636043
PI548534,-0.651636043
PI548557,-0.649720107
PI548598,-0.33995584
PI548616,-0.667655696
PI548622,0.168875802
PI548636,0.200344304
PI562374,-0.624136043
PI584441,0.281664101
PI591484,-0.047720107
PI591497,-0.012479282
PI591502,0.197844304
PI591510,-0.040655696
PI591524,0.036779893
PI591525,-0.120335899
PI591531,-0.633624198
PI591540,0.120791738
PI597382,0.273164101
PI597478B,-0.719419962
PI603571B,0.344556005
PI603742C,0.250344304
PI614154,-0.536919962
PI632422,-0.006655696
PI634760,-0.411708262
PI634827,-0.10145584
PI636464,0.140375802
PI371610,-0.610720107
PI371611,-0.69795584
PI445830,-0.872919962
PI476352A,-0.082136043
PI507708,-0.210720107
PI533601,0.444363957
PI534646,-0.369335899
PI534648,-0.399208262
PI537095,-0.706136043
PI542711,-0.45595584
PI547415,-0.008443995
PI547437,0.12954416
PI547444,0.33854416
PI547453,0.02504416
PI547479,0.365664101
PI547524,-0.31995584
PI547525,-0.401708262
PI547535,-0.014124198
PI547543,-0.060136043
PI547572,0.089279893
PI547576,0.167779893
PI547603,0.002363957
PI547630,0.36704416
PI547644,-0.294136043
PI547801,-0.299220107
PI547833,-0.175155696
PI547862,-0.048720107
PI547876,0.240056005
PI548210,0.404080038
PI548231,-0.425636043
PI548242,0.125779893
PI548253,-0.177155696
PI548259,-0.430419962
PI548263,-0.971220107
PI548288,-0.316636043
PI548520,-0.077720107
PI548569,-0.19945584
PI548597,-0.242220107
PI548611,-0.728124198
PI548681,-0.710124198
PI556778,-0.042155696
PI556928,-0.203136043
PI557011,-0.472720107
PI567783,-0.693443995
PI576166,-0.025155696
PI591506,0.44304416
PI591539,-0.031624198
